age,sex,race,native.country,education,education.num,workclass,occupation,hours.per.week,marital.status,relationship,capital.gain,capital.loss,fnlwgt,income,_auxiliary_result,_auxiliary_confidence
47,Male,Black,United-States,9th,5,Private,Handlers-cleaners,40,Divorced,Not-in-family,0,1882,209347,<=50K,normal,1.0
38,Male,White,United-States,Masters,14,Private,Exec-managerial,45,Married-civ-spouse,Husband,0,1846,278431,>50K,normal,1.0
46,Male,White,United-States,10th,6,Private,Transport-moving,70,Divorced,Not-in-family,0,2451,263814,>50K,normal,1.0
67,Female,White,United-States,Some-college,10,Private,Sales,45,Widowed,Not-in-family,0,1876,312754,>50K,normal,1.0
24,Female,White,United-States,Bachelors,13,Private,Sales,36,Never-married,Not-in-family,0,0,212475,<=50K,normal,1.0
41,Male,Asian-Pac-Islander,India,Masters,14,Private,Prof-specialty,45,Married-civ-spouse,Husband,0,0,278435,>50K,normal,1.0
38,Male,White,United-States,Some-college,10,Private,Sales,45,Married-civ-spouse,Husband,0,0,324597,>50K,normal,1.0
41,Male,White,United-States,10th,6,Private,Transport-moving,65,Divorced,Not-in-family,0,2467,183215,>50K,normal,1.0
22,Female,White,United-States,Some-college,10,Private,Adm-clerical,32,Never-married,Not-in-family,0,0,274366,<=50K,normal,1.0
38,Male,White,United-States,Some-college,10,Private,Sales,45,Married-civ-spouse,Husband,0,0,284516,>50K,normal,1.0
67,Female,White,United-States,7th-8th,4,Private,Other-service,30,Widowed,Not-in-family,0,0,249383,<=50K,normal,1.0
68,Female,Black,United-States,5th-6th,3,Private,Other-service,32,Widowed,Not-in-family,0,0,247893,<=50K,normal,1.0
70,Female,White,United-States,9th,5,Private,Other-service,25,Widowed,Unmarried,0,0,237411,<=50K,normal,1.0
70,Female,White,United-States,7th-8th,4,Private,Other-service,28,Widowed,Not-in-family,0,0,309367,<=50K,normal,1.0
70,Female,White,United-States,9th,5,Private,Other-service,20,Widowed,Not-in-family,0,0,237189,<=50K,normal,1.0
72,Female,Black,United-States,7th-8th,4,Private,Other-service,30,Widowed,Unmarried,0,0,243187,<=50K,normal,1.0
70,Female,Black,United-States,7th-8th,4,Private,Other-service,24,Widowed,Not-in-family,0,0,321457,<=50K,normal,1.0
72,Female,Black,United-States,7th-8th,4,Private,Other-service,28,Widowed,Not-in-family,0,0,328947,<=50K,normal,1.0
